LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2033,Forest,155197.75,154959.4,155409.15000000002
BAU,CanESM2,rcp45,2033,Grassland,44807.4,44303.399999999994,45358.2
BAU,CanESM2,rcp45,2033,Shrubland,110520.98,110310.4,110804
BAU,CanESM2,rcp45,2033,SnowIce,28,28,28
BAU,CanESM2,rcp45,2033,Water,18655,18655,18655
BAU,CanESM2,rcp45,2033,Wetland,2687.77,2622.85,2745.725
BAU,CanESM2,rcp45,2034,Agriculture,43683.73,43289.6,44098.95
BAU,CanESM2,rcp45,2034,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2034,Developed,29224.12,28432.074999999997,29847.300000000003
BAU,CanESM2,rcp45,2034,Forest,155156.17,154917.5,155373.825
BAU,CanESM2,rcp45,2034,Grassland,44748.45,44244.475,45287.4
BAU,CanESM2,rcp45,2034,Shrubland,110475.48,110270.475,110750.57500000001
BAU,CanESM2,rcp45,2034,SnowIce,28,28,28
BAU,CanESM2,rcp45,2034,Water,18655,18655,18655
BAU,CanESM2,rcp45,2034,Wetland,2686.05,2619.425,2742.1000000000004
BAU,CanESM2,rcp45,2035,Agriculture,43637.23,43256.524999999994,44044.15
BAU,CanESM2,rcp45,2035,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2035,Developed,29415.01,28590.85,30104.525
BAU,CanESM2,rcp45,2035,Forest,155115.69,154884.325,155337.075
BAU,CanESM2,rcp45,2035,Grassland,44692.21,44241.25,45286.875
BAU,CanESM2,rcp45,2035,Shrubland,110428.95,110216.95,110703
BAU,CanESM2,rcp45,2035,SnowIce,28,28,28
BAU,CanESM2,rcp45,2035,Water,18655,18655,18655
BAU,CanESM2,rcp45,2035,Wetland,2684.91,2616.55,2742.05
BAU,CanESM2,rcp45,2036,Agriculture,43599.51,43167.475,44033.399999999994
BAU,CanESM2,rcp45,2036,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2036,Developed,29596.07,28739.475,30218.175
BAU,CanESM2,rcp45,2036,Forest,155076.43,154814.55,155327.2
BAU,CanESM2,rcp45,2036,Grassland,44631.86,44122.95,45251.675
BAU,CanESM2,rcp45,2036,Shrubland,110387.02,110166.17499999999,110638.675
BAU,CanESM2,rcp45,2036,SnowIce,28,28,28
BAU,CanESM2,rcp45,2036,Water,18655,18655,18655
